Sensor,Timestamp,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z
Left hand,0.000000,0.1982421875,-0.607177734375,-0.822998046875,-3.37982177734,1.84631347656,-0.328063964844
Left forearm,0.001694,-0.718505859375,-0.657958984375,-0.040283203125,-4.70733642578,8.94927978516,-2.51770019531
Left biceps,0.003092,0.172119140625,0.50830078125,0.822509765625,-3.39508056641,2.15911865234,0.106811523438
Right hand,0.004407,0.91259765625,0.04150390625,-0.513916015625,-3.173828125,2.25067138672,0.0839233398438
Right forearm,0.011665,0.5146484375,0.290771484375,0.760986328125,-0.755310058594,3.43322753906,-1.41143798828
Right biceps,0.013087,-0.626220703125,0.0087890625,-0.8212890625,-3.31115722656,2.09045410156,-0.144958496094
Left shoulder,0.014435,-0.328125,-0.5244140625,-0.826171875,-3.18145751953,2.02178955078,-0.00762939453125
Right shoulder,0.015772,0.09619140625,-0.283203125,-1.01831054688,-3.15093994141,1.67846679688,-0.0534057617188
Back pelvis,0.018339,0.4228515625,-0.494140625,-0.815185546875,-3.19671630859,2.09045410156,-0.335693359375
Front pelvis,0.022169,-0.38134765625,0.289306640625,0.846435546875,-3.57818603516,1.87683105469,-0.06103515625
Belly button,0.023598,0.674560546875,0.150146484375,0.7138671875,-3.35693359375,1.75476074219,-0.091552734375
Sternum,0.025876,-0.13623046875,0.51025390625,0.820068359375,-3.31115722656,2.12097167969,-0.0152587890625
Head,0.031871,0.923583984375,0.16357421875,0.368896484375,-3.28063964844,1.90734863281,0.0991821289062
Left thigh,0.033635,0.743896484375,0.171875,0.644287109375,-3.25775146484,2.05993652344,0.0534057617188
Left tibia,0.037088,-0.862548828125,0.35302734375,0.308349609375,-14.762878418,-32.7987670898,-3.20434570312
Left foot,0.038884,0.30908203125,0.252685546875,0.89453125,-3.173828125,1.81579589844,0.0152587890625
Right thigh,0.043742,0.82080078125,-0.583984375,0.07177734375,-3.34167480469,1.48010253906,0.3662109375
Right tibia,0.048426,0.86083984375,-0.48486328125,-0.285400390625,-3.58581542969,1.82342529297,-0.0686645507812
Right foot,0.050288,0.5654296875,0.23388671875,0.783447265625,-3.15856933594,2.12097167969,-0.205993652344
Left hand,0.051797,0.196044921875,-0.6064453125,-0.81787109375,-3.24249267578,1.82342529297,-0.282287597656
Left forearm,0.055085,-0.72265625,-0.653076171875,-0.026123046875,-4.93621826172,8.76617431641,-2.57873535156
Left biceps,0.058179,0.179931640625,0.510498046875,0.822998046875,-3.25775146484,1.75476074219,-0.0534057617188
Right hand,0.059739,0.904296875,0.046875,-0.524658203125,-3.19671630859,1.72424316406,-0.0991821289062
Right forearm,0.062119,0.5126953125,0.2841796875,0.76171875,-4.89807128906,1.04522705078,1.00708007812
Right biceps,0.067837,-0.622802734375,0.0126953125,-0.820556640625,-3.27301025391,1.8310546875,-0.129699707031
Left shoulder,0.069572,-0.33251953125,-0.5244140625,-0.819580078125,-3.11279296875,1.97601318359,-0.0686645507812
Right shoulder,0.073108,0.09619140625,-0.28125,-1.01782226562,-3.38745117188,2.74658203125,-0.228881835938
Back pelvis,0.074783,0.426025390625,-0.49658203125,-0.81982421875,-3.07464599609,1.88446044922,-0.0839233398438
Front pelvis,0.079703,-0.376220703125,0.28955078125,0.834716796875,-2.98309326172,1.93023681641,0.0457763671875
Belly button,0.082086,0.67919921875,0.146240234375,0.710693359375,-3.2958984375,1.93023681641,-0.1220703125
Sternum,0.086218,-0.13330078125,0.511962890625,0.820068359375,-3.48663330078,1.86920166016,-0.259399414062
Head,0.087827,0.9228515625,0.168701171875,0.361572265625,-3.26538085938,1.96838378906,-0.137329101562
Left thigh,0.091175,0.74072265625,0.167724609375,0.642333984375,-3.05938720703,1.88446044922,-0.0228881835938
Left tibia,0.098019,-0.827880859375,0.38720703125,0.322265625,-18.440246582,-34.6755981445,-5.14984130859
Left foot,0.105514,0.309326171875,0.253662109375,0.89892578125,-3.14331054688,1.75476074219,0.282287597656
Right thigh,0.107130,0.821044921875,-0.58544921875,0.067138671875,-2.90679931641,2.25067138672,-0.656127929688
Right tibia,0.118267,0.86083984375,-0.48388671875,-0.281494140625,-3.32641601562,1.708984375,-0.0381469726562
Right foot,0.119821,0.562744140625,0.23486328125,0.779541015625,-3.20434570312,1.88446044922,-0.0762939453125
