Sensor,Timestamp,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z
Right hand,0.152904,0.931640625,-0.492919921875,0.367919921875,5.66101074219,12.7105712891,7.91168212891
Right forearm,0.154906,-0.06201171875,-0.977783203125,0.4560546875,-11.8865966797,-24.8718261719,2.40325927734
Right biceps,0.157238,-0.35205078125,-0.888916015625,0.205322265625,1.54113769531,-24.543762207,-6.09588623047
Left shoulder,0.161342,-0.134521484375,0.97607421875,0.3798828125,-21.0571289062,17.0745849609,-5.859375
Right shoulder,0.162506,-0.6025390625,0.7529296875,0.340087890625,9.40704345703,-12.1612548828,0.6103515625
Back pelvis,0.163795,0.95654296875,0.078857421875,0.4150390625,2.97546386719,8.89587402344,-11.7034912109
Front pelvis,0.164983,0.807373046875,-0.14013671875,0.037353515625,7.18688964844,-3.52478027344,11.7340087891
Belly button,0.167327,0.55615234375,0.9716796875,0.182861328125,30.4489135742,-5.08117675781,10.9329223633
Sternum,0.168556,0.63671875,0.05322265625,0.79052734375,-0.762939453125,-3.173828125,-9.88006591797
Head,0.169729,1.07763671875,-0.018798828125,0.2900390625,1.66320800781,-2.30407714844,0.801086425781
Left thigh,0.170910,-0.162109375,-0.949462890625,-0.153076171875,-0.144958496094,2.08282470703,4.638671875
Left tibia,0.173258,0.340087890625,-0.95849609375,-0.084228515625,23.8342285156,-19.1345214844,-107.597351074
Left foot,0.174422,0.419921875,-0.0380859375,0.337158203125,-27.8854370117,-3.41033935547,-47.6531982422
Right thigh,0.175652,0.673583984375,-0.827392578125,-0.1611328125,9.34600830078,-21.9650268555,-13.0310058594
Right tibia,0.177147,0.400390625,-1.22729492188,0.267822265625,8.68225097656,20.7748413086,-90.5914306641
Right foot,0.179658,-0.10791015625,-0.634765625,1.15551757812,7.04193115234,-77.0874023438,-74.0814208984
Left hand,0.180917,1.02001953125,0.070068359375,0.270263671875,40.3289794922,13.8168334961,3.53240966797
Left forearm,0.182119,0.114013671875,-0.887451171875,0.285888671875,-20.0576782227,4.92858886719,8.17108154297
Left biceps,0.183304,0.04541015625,-0.888671875,0.233642578125,12.2299194336,18.1427001953,-34.5916748047
Right hand,0.185608,0.934326171875,-0.46337890625,0.357421875,-0.984191894531,16.7694091797,12.2528076172
Right forearm,0.186786,-0.077392578125,-0.853515625,0.396240234375,-6.77490234375,-10.1013183594,0.419616699219
Right biceps,0.187955,-0.35986328125,-0.877685546875,0.21240234375,7.88879394531,-23.3535766602,-2.34222412109
Left shoulder,0.189111,-0.13818359375,0.99365234375,0.337890625,-13.7557983398,16.731262207,-0.1220703125
Right shoulder,0.191467,-0.580078125,0.7890625,0.319580078125,8.53729248047,-13.313293457,0.885009765625
Back pelvis,0.192700,0.96923828125,-0.012451171875,0.3525390625,5.82122802734,-1.03759765625,-10.1165771484
Front pelvis,0.193883,1.08422851562,0.288330078125,0.2138671875,3.33404541016,-21.125793457,3.18908691406
Belly button,0.195110,0.376708984375,1.13818359375,0.140625,7.53784179688,13.9465332031,-33.9813232422
Sternum,0.197443,0.650390625,0.041259765625,0.767333984375,1.0986328125,1.54113769531,-16.0217285156
Head,0.198614,1.0263671875,0.0,0.310791015625,2.90679931641,7.84301757812,1.23596191406
Left thigh,0.199857,-0.17431640625,-0.960693359375,-0.123291015625,0.534057617188,6.103515625,-0.457763671875
Left tibia,0.201025,0.320556640625,-0.869140625,-0.026123046875,23.1399536133,-26.3519287109,-117.91229248
Left foot,0.203340,0.251220703125,-0.08154296875,-0.29345703125,-89.0045166016,-69.694519043,-35.1333618164
Right thigh,0.204499,0.406005859375,-0.925537109375,0.01171875,6.99615478516,-22.6211547852,-12.2375488281
Right tibia,0.205691,0.489501953125,-0.97509765625,0.3408203125,3.18908691406,49.0570068359,-103.088378906
Right foot,0.206906,-0.04736328125,-0.583740234375,1.119140625,84.5108032227,-184.875488281,-106.101989746
Left hand,0.220119,0.9716796875,0.111572265625,0.2216796875,40.8172607422,3.72314453125,6.4697265625
Left forearm,0.221666,0.136474609375,-0.85546875,0.306884765625,-20.3247070312,8.03375244141,2.58636474609
Left biceps,0.223304,0.08349609375,-0.85498046875,0.224853515625,11.7645263672,14.3585205078,-33.8287353516
Right hand,0.224727,0.905517578125,-0.470947265625,0.32861328125,-11.3220214844,20.6909179688,24.0325927734
Right forearm,0.229237,-0.1845703125,-0.79248046875,0.295166015625,-14.6636962891,1.0986328125,3.55529785156
Right biceps,0.230900,-0.358154296875,-0.869140625,0.21044921875,13.2751464844,-23.6892700195,5.74493408203
Left shoulder,0.235126,-0.097900390625,0.943603515625,0.28125,-12.7716064453,4.8828125,0.823974609375
Right shoulder,0.236615,-0.544189453125,0.844482421875,0.32958984375,2.22778320312,-10.7040405273,1.57928466797
Back pelvis,0.244062,0.922607421875,0.04833984375,0.365966796875,1.76239013672,14.9307250977,-10.498046875
Front pelvis,0.246172,1.19262695312,0.505615234375,0.22314453125,-7.75909423828,-34.3246459961,6.67572021484
Belly button,0.247890,0.488525390625,1.0927734375,-0.00244140625,-2.69317626953,25.1007080078,-43.0603027344
Sternum,0.249525,0.691650390625,0.0390625,0.808349609375,-1.56402587891,3.44848632812,-22.4990844727
Head,0.255996,1.01782226562,-0.0185546875,0.30078125,5.79071044922,8.09478759766,3.44848632812
Left thigh,0.257565,-0.2041015625,-0.945556640625,-0.1162109375,-0.999450683594,-0.42724609375,-0.686645507812
Left tibia,0.259217,0.359130859375,-0.919921875,-0.047119140625,10.7955932617,-22.590637207,-114.379882812
Left foot,0.260639,0.782470703125,-0.322998046875,0.2734375,-107.727050781,-79.704284668,-44.8379516602
Right thigh,0.263701,0.56689453125,-0.816162109375,-0.025634765625,-4.21905517578,-27.7786254883,-14.3051147461
Right tibia,0.265087,0.367431640625,-0.985107421875,0.267333984375,4.33349609375,31.7687988281,-91.8045043945
Right foot,0.266204,-0.013671875,-0.60888671875,0.96533203125,181.396484375,-197.410583496,-19.1116333008
Left hand,0.267477,1.02001953125,0.123779296875,0.220947265625,30.6549072266,7.63702392578,3.57055664062
Left forearm,0.269887,0.21484375,-1.01977539062,0.357177734375,-28.7017822266,15.6631469727,8.07189941406
Left biceps,0.271224,0.097412109375,-0.851806640625,0.27099609375,8.08715820312,-6.37817382812,-31.3949584961
Right hand,0.272429,0.892822265625,-0.470458984375,0.30078125,4.638671875,21.9345092773,27.961730957
Right forearm,0.273589,-0.21337890625,-0.74853515625,0.235107421875,-21.858215332,-14.3051147461,13.7939453125
Right biceps,0.276061,-0.357177734375,-0.865966796875,0.21484375,18.3334350586,-19.9661254883,6.02722167969
Left shoulder,0.277250,-0.1142578125,0.926513671875,0.294189453125,-10.368347168,3.09753417969,3.2958984375
Right shoulder,0.278423,-0.5283203125,0.830078125,0.346435546875,-8.61358642578,-5.84411621094,0.343322753906
Back pelvis,0.279673,0.9375,0.043701171875,0.3447265625,-3.22723388672,14.8696899414,-16.4566040039
Front pelvis,0.282031,1.19799804688,0.166259765625,-0.032958984375,-12.3672485352,-24.3911743164,2.93731689453
Belly button,0.283250,0.351318359375,0.845458984375,0.0107421875,6.41632080078,6.19506835938,-19.157409668
Sternum,0.284447,0.713134765625,0.071533203125,0.796875,-6.24084472656,7.46917724609,-28.2974243164
Head,0.285630,1.00610351562,-0.030029296875,0.320068359375,11.4059448242,6.74438476562,9.30023193359
Left thigh,0.287955,-0.2138671875,-0.954833984375,-0.120361328125,-0.06103515625,-6.28662109375,-1.35803222656
Left tibia,0.289120,0.429443359375,-0.908447265625,0.0009765625,3.72314453125,-6.05773925781,-92.1325683594
Left foot,0.290618,1.17041015625,-0.307373046875,0.576904296875,-59.7763061523,-101.226806641,-65.5517578125
Right thigh,0.291971,0.525634765625,-0.901611328125,-0.071533203125,-11.474609375,-15.1062011719,-19.0048217773
Right tibia,0.294355,0.28076171875,-0.877197265625,0.06787109375,-13.2904052734,-27.1148681641,-73.486328125
Right foot,0.295675,-1.90600585938,-0.241455078125,1.99993896484,109.848022461,-22.3159790039,159.278869629
Left hand,0.296861,1.03002929688,0.106201171875,0.246337890625,13.5650634766,9.70458984375,0.54931640625
Left forearm,0.298020,0.20654296875,-1.05322265625,0.375244140625,-26.7333984375,26.4739990234,13.6566162109
Left biceps,0.300362,0.109619140625,-0.904541015625,0.30517578125,6.18743896484,-9.31549072266,-34.8663330078
Right hand,0.301525,0.87841796875,-0.3994140625,0.259033203125,27.4429321289,21.9192504883,25.9704589844
Right forearm,0.302754,-0.263916015625,-0.71875,0.18994140625,-26.0848999023,-27.3895263672,16.1819458008
