CSV format: Accelerometer x value, acclerometer y value, accelerometer z value, gyroscope x value, gyroscope y value, gyroscope z value
Sample frequency: 100Hz
1534595839.620.9541015625,-0.364990234375,-0.001220703125,1.61743164062,0.572204589844,-0.358581542969
1534595839.630.9560546875,-0.366455078125,-0.00244140625,1.64794921875,0.48828125,-0.175476074219
1534595839.630.953369140625,-0.366455078125,-0.001708984375,1.25885009766,0.801086425781,-0.3662109375
1534595839.630.956298828125,-0.36669921875,-0.0029296875,1.64031982422,0.518798828125,-0.289916992188
1534595839.630.94921875,-0.366943359375,0.003662109375,1.5869140625,0.556945800781,-0.389099121094
1534595839.640.9501953125,-0.36572265625,-0.001953125,1.49536132812,0.198364257812,-0.442504882812
1534595839.640.949951171875,-0.371337890625,0.000732421875,1.57165527344,0.602722167969,-0.30517578125
1534595839.640.95166015625,-0.369873046875,-0.001220703125,1.41906738281,0.587463378906,-0.236511230469
1534595839.640.95458984375,-0.3681640625,-0.0009765625,1.51062011719,0.480651855469,-0.48828125
1534595839.650.9560546875,-0.37109375,-0.00390625,1.78527832031,0.564575195312,-0.541687011719
1534595839.650.9560546875,-0.370849609375,-0.006591796875,1.67083740234,0.495910644531,-0.473022460938
1534595839.650.953857421875,-0.36767578125,0.00341796875,1.67846679688,0.938415527344,-0.335693359375
1534595839.650.95263671875,-0.36767578125,0.00439453125,1.35040283203,0.816345214844,-0.42724609375
1534595839.660.95361328125,-0.368896484375,0.0,1.51824951172,0.6103515625,-0.541687011719
1534595839.660.954345703125,-0.368408203125,-0.003173828125,1.21307373047,0.839233398438,-0.785827636719
1534595839.660.951416015625,-0.367919921875,0.00634765625,1.51824951172,0.831604003906,-0.442504882812
1534595839.660.95361328125,-0.3671875,-0.000244140625,1.60980224609,0.450134277344,-0.579833984375
1534595839.660.95361328125,-0.36572265625,-0.00244140625,1.44195556641,0.656127929688,-0.625610351562
1534595839.660.955322265625,-0.3662109375,-0.004150390625,1.41906738281,0.679016113281,-0.511169433594
1534595839.660.95263671875,-0.3671875,-0.005615234375,1.49536132812,0.54931640625,-0.511169433594
1534595839.660.951416015625,-0.369140625,-0.001220703125,1.46484375,0.747680664062,-0.579833984375
1534595839.670.953125,-0.3681640625,0.001220703125,1.68609619141,0.633239746094,-0.564575195312
1534595839.670.95361328125,-0.368408203125,-0.00537109375,1.65557861328,0.625610351562,-0.587463378906
1534595839.670.950927734375,-0.366455078125,-0.002685546875,1.46484375,0.686645507812,-0.328063964844
1534595839.670.951904296875,-0.3662109375,0.00048828125,1.71661376953,0.885009765625,-0.175476074219
1534595839.670.953857421875,-0.366455078125,-0.00048828125,1.53350830078,0.862121582031,-0.381469726562
1534595839.670.94970703125,-0.366943359375,-0.00732421875,1.35040283203,0.587463378906,-0.717163085938
1534595839.670.951416015625,-0.365478515625,-0.00146484375,1.45721435547,0.747680664062,-0.564575195312
1534595839.670.9521484375,-0.366943359375,0.00048828125,1.54113769531,0.762939453125,-0.625610351562
1534595839.680.953857421875,-0.3662109375,-0.00537109375,1.64031982422,0.755310058594,-0.511169433594
1534595839.680.95166015625,-0.3662109375,-0.006103515625,1.44195556641,0.686645507812,-0.541687011719
1534595839.680.94873046875,-0.369384765625,-0.01025390625,1.3427734375,0.389099121094,-0.343322753906
1534595839.680.955810546875,-0.36669921875,0.000732421875,1.46484375,0.419616699219,-0.343322753906
1534595839.680.95751953125,-0.368408203125,-0.001708984375,1.48010253906,0.640869140625,-0.350952148438
1534595839.680.955322265625,-0.3681640625,-0.000732421875,1.55639648438,0.434875488281,-0.198364257812
