CSV format: Accelerometer x value, acclerometer y value, accelerometer z value, gyroscope x value, gyroscope y value, gyroscope z value
Sample frequency: 100Hz
1534594026.910.942626953125,-0.4033203125,-0.08642578125,1.0986328125,-0.00762939453125,-1.25885009766
1534594026.910.94091796875,-0.399658203125,-0.091796875,1.09100341797,0.709533691406,-0.8544921875
1534594026.910.937744140625,-0.39794921875,-0.078857421875,1.21307373047,0.312805175781,-1.02233886719
1534594026.910.939208984375,-0.3994140625,-0.086181640625,1.50299072266,0.411987304688,-0.534057617188
1534594026.920.9384765625,-0.3994140625,-0.0830078125,1.69372558594,0.556945800781,-0.358581542969
1534594026.920.940185546875,-0.400390625,-0.081787109375,1.93023681641,0.717163085938,-0.0839233398438
1534594026.920.935791015625,-0.395751953125,-0.0791015625,1.56402587891,0.656127929688,0.205993652344
1534594026.920.9404296875,-0.398681640625,-0.087890625,1.68609619141,0.679016113281,0.419616699219
1534594026.930.936767578125,-0.397216796875,-0.086669921875,1.87683105469,0.648498535156,0.167846679688
1534594026.930.935546875,-0.3984375,-0.0849609375,1.61743164062,0.801086425781,0.213623046875
1534594026.930.939208984375,-0.399169921875,-0.083740234375,1.78527832031,0.91552734375,0.160217285156
1534594026.930.930908203125,-0.395263671875,-0.07421875,1.65557861328,0.587463378906,0.1220703125
1534594026.940.935546875,-0.3974609375,-0.07958984375,1.61743164062,0.625610351562,-0.0152587890625
1534594026.940.93603515625,-0.40087890625,-0.078125,1.46484375,0.541687011719,-0.328063964844
1534594026.940.937744140625,-0.399169921875,-0.0771484375,1.41143798828,0.816345214844,-0.717163085938
1534594026.950.9345703125,-0.396484375,-0.07568359375,1.31988525391,0.236511230469,-0.823974609375
1534594026.950.940673828125,-0.395751953125,-0.083984375,1.25122070312,0.79345703125,-1.24359130859
1534594026.950.93701171875,-0.39892578125,-0.082275390625,1.14440917969,0.236511230469,-1.26647949219
1534594026.960.939697265625,-0.400634765625,-0.0810546875,1.29699707031,0.587463378906,-1.21307373047
1534594026.960.94287109375,-0.39990234375,-0.079833984375,1.31988525391,0.343322753906,-1.07574462891
1534594026.960.93994140625,-0.402099609375,-0.080078125,1.33514404297,0.511169433594,-0.999450683594
1534594026.960.936767578125,-0.4013671875,-0.0869140625,1.28173828125,0.335693359375,-0.48828125
1534594026.970.938720703125,-0.402587890625,-0.0869140625,1.5869140625,0.709533691406,-0.450134277344
1534594026.970.939697265625,-0.40087890625,-0.076171875,1.36566162109,0.617980957031,-0.282287597656
1534594026.970.93798828125,-0.39990234375,-0.083740234375,1.92260742188,0.328063964844,0.465393066406
1534594026.970.939453125,-0.396484375,-0.0810546875,1.80053710938,0.801086425781,0.144958496094
1534594026.980.934814453125,-0.40087890625,-0.0810546875,1.81579589844,0.869750976562,0.358581542969
1534594026.980.93505859375,-0.399658203125,-0.083251953125,1.74713134766,0.747680664062,0.534057617188
1534594026.980.932373046875,-0.398681640625,-0.075927734375,1.60980224609,0.770568847656,0.18310546875
1534594026.990.93310546875,-0.401123046875,-0.081298828125,1.73950195312,0.587463378906,-0.030517578125
1534594026.990.931884765625,-0.39794921875,-0.0830078125,1.43432617188,0.602722167969,-0.282287597656
1534594026.990.937255859375,-0.400146484375,-0.078369140625,1.48010253906,0.541687011719,-0.740051269531
1534594027.00.93359375,-0.4033203125,-0.083984375,1.3427734375,0.373840332031,-0.968933105469
1534594027.00.931640625,-0.403076171875,-0.08837890625,1.35040283203,0.267028808594,-1.09100341797
1534594027.00.935791015625,-0.402099609375,-0.07861328125,1.02996826172,0.6103515625,-1.06048583984
1534594027.010.93701171875,-0.397705078125,-0.0791015625,1.28173828125,0.312805175781,-1.31225585938
1534594027.010.936279296875,-0.401123046875,-0.080078125,1.09100341797,0.411987304688,-1.12915039062
1534594027.010.941162109375,-0.400146484375,-0.0849609375,1.3427734375,0.503540039062,-0.778198242188
1534594027.010.939453125,-0.396728515625,-0.0830078125,1.38854980469,0.335693359375,-0.480651855469
1534594027.020.93701171875,-0.401123046875,-0.083740234375,1.31225585938,0.633239746094,-0.534057617188
1534594027.020.938232421875,-0.39794921875,-0.084716796875,1.60980224609,0.625610351562,-0.320434570312
1534594027.020.9365234375,-0.400390625,-0.087158203125,1.64794921875,0.823974609375,0.030517578125
1534594027.030.937255859375,-0.399658203125,-0.08544921875,1.87683105469,0.877380371094,0.091552734375
1534594027.030.93603515625,-0.39892578125,-0.073486328125,1.81579589844,0.877380371094,0.030517578125
1534594027.030.93359375,-0.396728515625,-0.079833984375,1.90734863281,0.747680664062,0.465393066406
1534594027.040.935302734375,-0.3984375,-0.07373046875,1.88446044922,0.762939453125,0.297546386719
1534594027.040.93359375,-0.3974609375,-0.07421875,1.78527832031,0.930786132812,0.091552734375
1534594027.040.93603515625,-0.396240234375,-0.080078125,1.60217285156,0.556945800781,-0.0534057617188
1534594027.040.938720703125,-0.3974609375,-0.071044921875,1.46484375,0.48828125,-0.350952148438
1534594027.050.936279296875,-0.3974609375,-0.075927734375,1.53350830078,0.495910644531,-0.747680664062
1534594027.050.941650390625,-0.3984375,-0.073974609375,1.37329101562,0.54931640625,-0.999450683594
1534594027.050.9375,-0.397216796875,-0.078125,1.19018554688,0.0686645507812,-1.12915039062
1534594027.050.94189453125,-0.402099609375,-0.075927734375,1.31225585938,0.396728515625,-1.35040283203
1534594027.060.941650390625,-0.39990234375,-0.0771484375,0.999450683594,0.381469726562,-1.25885009766
1534594027.060.939208984375,-0.3984375,-0.080810546875,1.23596191406,0.328063964844,-1.25122070312
1534594027.060.94287109375,-0.399169921875,-0.0859375,1.12915039062,0.686645507812,-1.05285644531
1534594027.070.943359375,-0.398193359375,-0.08544921875,1.54876708984,0.480651855469,-1.14440917969
1534594027.070.93701171875,-0.3955078125,-0.078369140625,1.35040283203,0.335693359375,-0.526428222656
1534594027.070.940673828125,-0.397705078125,-0.07958984375,1.54113769531,0.747680664062,-0.343322753906
1534594027.070.9375,-0.398193359375,-0.077392578125,1.708984375,0.579833984375,0.06103515625
1534594027.080.93994140625,-0.396484375,-0.08251953125,1.73187255859,0.625610351562,0.137329101562
1534594027.080.939697265625,-0.3974609375,-0.080810546875,1.96838378906,0.640869140625,0.442504882812
1534594027.090.93603515625,-0.39794921875,-0.079833984375,1.93786621094,0.762939453125,0.480651855469
1534594027.090.93115234375,-0.39794921875,-0.080322265625,1.82342529297,0.740051269531,0.350952148438
1534594027.090.934326171875,-0.39990234375,-0.08349609375,1.64031982422,0.717163085938,0.198364257812
1534594027.090.9326171875,-0.40380859375,-0.079833984375,1.76239013672,0.526428222656,0.0381469726562
1534594027.10.93310546875,-0.402587890625,-0.07958984375,1.70135498047,0.900268554688,-0.30517578125
1534594027.10.935546875,-0.397705078125,-0.075439453125,1.40380859375,0.686645507812,-0.625610351562
1534594027.10.933837890625,-0.40185546875,-0.07666015625,1.50299072266,0.42724609375,-0.701904296875
1534594027.110.931396484375,-0.402587890625,-0.081298828125,1.49536132812,0.434875488281,-0.694274902344
1534594027.110.93603515625,-0.399658203125,-0.076904296875,1.48010253906,0.152587890625,-1.26647949219
1534594027.110.939697265625,-0.398681640625,-0.080078125,1.19018554688,0.411987304688,-1.33514404297
1534594027.110.933837890625,-0.4013671875,-0.0810546875,1.26647949219,0.396728515625,-1.19781494141
1534594027.120.939453125,-0.405029296875,-0.08251953125,1.42669677734,0.389099121094,-0.984191894531
1534594027.120.9404296875,-0.4033203125,-0.087890625,1.24359130859,0.3662109375,-1.07574462891
1534594027.120.9375,-0.403564453125,-0.090087890625,1.54876708984,0.495910644531,-0.572204589844
1534594027.120.94189453125,-0.40234375,-0.082275390625,1.43432617188,0.358581542969,-0.411987304688
1534594027.130.936279296875,-0.40185546875,-0.08251953125,1.66320800781,0.686645507812,-0.267028808594
1534594027.130.935791015625,-0.40380859375,-0.085205078125,1.45721435547,0.701904296875,-0.00762939453125
1534594027.130.937255859375,-0.404541015625,-0.084228515625,1.97601318359,0.785827636719,0.335693359375
1534594027.140.932861328125,-0.404296875,-0.08251953125,1.77001953125,0.923156738281,0.167846679688
1534594027.140.93505859375,-0.40185546875,-0.082763671875,1.89208984375,0.900268554688,0.228881835938
1534594027.140.930908203125,-0.401123046875,-0.08056640625,1.86920166016,0.839233398438,0.335693359375
1534594027.140.934814453125,-0.40625,-0.0830078125,1.97601318359,0.930786132812,0.00762939453125
1534594027.150.928955078125,-0.39990234375,-0.085205078125,1.77001953125,0.602722167969,0.0534057617188
1534594027.150.930908203125,-0.406005859375,-0.080322265625,1.65557861328,0.54931640625,-0.129699707031
1534594027.150.928466796875,-0.3994140625,-0.087158203125,1.67846679688,0.640869140625,-0.396728515625
1534594027.150.9345703125,-0.401611328125,-0.077880859375,1.45721435547,0.473022460938,-0.602722167969
1534594027.160.9345703125,-0.4013671875,-0.080322265625,1.38092041016,0.289916992188,-0.938415527344
1534594027.160.932861328125,-0.401611328125,-0.0830078125,1.33514404297,0.30517578125,-1.26647949219
1534594027.160.93359375,-0.400390625,-0.082275390625,1.21307373047,0.572204589844,-0.968933105469
1534594027.170.935791015625,-0.40185546875,-0.07958984375,1.27410888672,0.457763671875,-1.54876708984
1534594027.170.936767578125,-0.400146484375,-0.080322265625,1.17492675781,0.030517578125,-1.20544433594
1534594027.170.938720703125,-0.3994140625,-0.0869140625,1.36566162109,0.541687011719,-1.30462646484
1534594027.170.938720703125,-0.3984375,-0.086669921875,1.27410888672,0.534057617188,-0.823974609375
1534594027.180.938232421875,-0.3984375,-0.08154296875,1.42669677734,0.312805175781,-0.930786132812
1534594027.180.936279296875,-0.400146484375,-0.085693359375,1.36566162109,0.617980957031,-0.770568847656
1534594027.180.93896484375,-0.3955078125,-0.081298828125,1.29699707031,0.663757324219,-0.67138671875
1534594027.180.941650390625,-0.396484375,-0.08251953125,1.78527832031,0.564575195312,-0.404357910156
1534594027.190.9404296875,-0.394775390625,-0.07861328125,1.5869140625,0.823974609375,-0.259399414062
1534594027.190.941162109375,-0.397705078125,-0.078125,1.80053710938,0.579833984375,0.167846679688
1534594027.190.939453125,-0.399658203125,-0.075927734375,1.85394287109,0.816345214844,0.0
1534594027.20.9384765625,-0.3984375,-0.074951171875,1.89208984375,0.923156738281,0.160217285156
1534594027.20.93798828125,-0.3984375,-0.080322265625,1.80053710938,0.617980957031,-0.137329101562
1534594027.210.935302734375,-0.395751953125,-0.07861328125,1.81579589844,0.656127929688,-0.18310546875
1534594027.210.93310546875,-0.39794921875,-0.075927734375,1.48773193359,0.396728515625,-0.640869140625
1534594027.210.934814453125,-0.39697265625,-0.076904296875,1.35803222656,0.686645507812,-0.495910644531
1534594027.210.934326171875,-0.39599609375,-0.07861328125,1.54876708984,0.404357910156,-0.595092773438
1534594027.220.935791015625,-0.3984375,-0.0771484375,1.38092041016,0.48828125,-0.984191894531
1534594027.220.93896484375,-0.399658203125,-0.075927734375,1.49536132812,0.328063964844,-0.762939453125
1534594027.220.938232421875,-0.39697265625,-0.0810546875,1.07574462891,0.381469726562,-0.8544921875
1534594027.220.94140625,-0.397216796875,-0.0810546875,1.28936767578,0.511169433594,-0.953674316406
1534594027.230.937255859375,-0.400634765625,-0.079345703125,1.35040283203,0.556945800781,-0.79345703125
1534594027.230.93701171875,-0.398193359375,-0.080322265625,1.12152099609,0.274658203125,-0.778198242188
1534594027.230.938232421875,-0.3994140625,-0.080322265625,1.51062011719,0.595092773438,-0.595092773438
1534594027.230.93701171875,-0.39892578125,-0.08447265625,1.47247314453,0.419616699219,-0.3662109375
1534594027.240.9404296875,-0.400634765625,-0.081787109375,1.65557861328,0.48828125,-0.350952148438
1534594027.240.935302734375,-0.404296875,-0.077880859375,1.65557861328,0.640869140625,-0.167846679688
1534594027.240.9365234375,-0.40185546875,-0.0830078125,1.70135498047,0.686645507812,-0.457763671875
1534594027.250.935546875,-0.399658203125,-0.080078125,1.49536132812,0.625610351562,-0.0762939453125
